Nc,mdotc,eta,pi
0.0,0.0,0.087077186,-0.039393894
0.0,0.05263158,0.014173053,-0.022621669
0.0,0.10526316,0.09959054,0.078148276
0.0,0.15789473,0.39534125,1.2219656
0.0,0.21052632,0.26321554,1.1611469
0.0,0.2631579,0.2958212,1.137527
0.0,0.31578946,0.20611525,1.0660304
0.0,0.36842105,0.3307441,1.0735247
0.0,0.42105263,0.36722887,1.098775
0.0,0.47368422,0.3674267,0.9298108
0.0,0.5263158,0.38384905,1.0557523
0.0,0.57894737,0.46387997,1.1602845
0.0,0.6315789,0.31919837,1.0005319
0.0,0.68421054,0.29158878,1.1382083
0.0,0.7368421,0.15579547,1.0901595
0.0,0.7894737,0.20732708,1.0539361
0.0,0.84210527,0.210863,0.93712306
0.0,0.8947368,0.27905738,1.0364667
0.0,0.94736844,0.22016981,1.1009862
0.0,1.0,0.3093482,0.94920695
0.05263158,0.0,0.0165357,-0.047001023
0.05263158,0.05263158,-0.015099024,-0.045093104
0.05263158,0.10526316,-0.11377111,-0.3552652
0.05263158,0.15789473,0.25578815,0.76132
0.05263158,0.21052632,0.3772419,1.1929965
0.05263158,0.2631579,0.32408574,1.0125961
0.05263158,0.31578946,0.3458411,1.0762935
0.05263158,0.36842105,0.21299489,1.0204245
0.05263158,0.42105263,0.28710017,1.1170733
0.05263158,0.47368422,0.30213594,1.0967073
0.05263158,0.5263158,0.3491525,1.0859108
0.05263158,0.57894737,0.2625839,1.1578605
0.05263158,0.6315789,0.35739535,1.0340996
0.05263158,0.68421054,0.2920477,0.96867025
0.05263158,0.7368421,0.46723998,1.0649128
0.05263158,0.7894737,0.22048452,0.9329951
0.05263158,0.84210527,0.33522686,1.0562892
0.05263158,0.8947368,0.41256964,0.9889841
0.05263158,0.94736844,0.27089095,0.9534608
0.05263158,1.0,0.4871668,0.8315895
0.10526316,0.0,0.045640722,-0.04270403
0.10526316,0.05263158,0.038322777,0.011371367
0.10526316,0.10526316,-0.0326225,0.05578515
